rep,throughput_per_hr,avg_lead_time_min,generated,completed
1,2.375,101.81957818431907,27,19
2,2.125,40.99393284422217,23,17
3,2.125,42.35508205663152,19,17
4,2.75,40.04389671950098,28,22
5,3.125,46.445705967594584,32,25
6,2.25,40.06789792590068,21,18
7,2.875,34.42972160907768,24,23
8,2.375,69.94935730984382,23,19
9,2.75,87.66364274557525,26,22
10,2.25,28.8391457412453,20,18
11,2.375,40.9084969693404,28,19
12,2.75,32.63819899366422,24,22
13,2.0,28.602607350738488,18,16
14,3.5,35.40749666626686,31,28
15,2.25,273.94192348365186,36,18
16,3.0,45.784371118334334,25,24
17,3.25,96.9986553260057,27,26
18,4.5,57.278919897057314,39,36
19,2.25,62.58283338228134,19,18
20,2.625,60.45207329653749,22,21
21,1.75,36.33194641573374,18,14
22,2.625,35.09092387890418,21,21
23,3.125,42.641068249692225,27,25
24,3.125,30.681008716185342,26,25
25,2.0,44.30266817104228,18,16
26,0.25,22.852581122424223,33,2
27,2.375,44.02628971326539,20,19
28,3.625,59.87481241634073,31,29
29,2.25,89.2388902369963,29,18
30,1.75,68.54851472585756,30,14
