rep,throughput_per_hr,avg_lead_time_min,generated,completed
1,3.125,27.05839142058254,26,25
2,2.5,24.280659164744137,23,20
3,3.75,30.62585131290921,32,30
4,4.125,32.27913347793565,35,33
5,4.75,30.330427804497194,39,38
6,2.375,25.236365998509275,20,19
7,3.5,35.59891746772442,29,28
8,2.75,31.379106608636633,24,22
9,3.5,28.328828146469107,29,28
10,3.125,26.601823841859677,25,25
11,2.875,28.457137712009473,23,23
12,3.375,28.515673290385656,30,27
13,2.375,23.287961551469323,20,19
14,2.5,39.46202349349519,22,20
15,3.25,31.52963224114082,29,26
16,4.25,30.634202900192143,35,34
17,2.625,31.1108218940413,21,21
18,4.125,31.76558067723618,35,33
19,3.625,35.782073029990094,34,29
20,2.375,31.428787448783996,20,19
21,3.25,26.80137209254333,30,26
22,3.25,27.22405708614921,26,26
23,4.0,53.029430835548155,32,32
24,3.375,31.27235507231753,30,27
25,3.375,49.23420157470319,28,27
26,2.75,30.30136403347217,26,22
27,3.25,39.23737857110786,28,26
28,4.25,35.06675539224293,39,34
29,3.625,26.076673398924587,30,29
30,3.5,53.68534689108752,29,28
